School ID,Year,Test Name,# Students Tested,Overall ELA Mean Scale Score,Overall ELA % Did Not Meet,Overall ELA % Partially Met,Overall ELA % Approached,Overall ELA % Met,Overall ELA % Exceeded,Overall ELA % Met or Exceeded,Reading Mean Scale Score,Reading Literary Text % Did Not Yet Meet or Partially Met,Reading Literary Text % Approached,Reading Literary Text % Met or Exceeded,Reading Information % Did Not Yet Meet or Partially Met,Reading Information % Approached,Reading Information % Met or Exceeded,Vocabulary % Did Not Yet Meet or Partially Met,Vocabulary % Approached,Vocabulary % Met or Exceeded,Writing Mean Scale Score,Writing Expression % Did Not Yet Meet or Partially Met,Writing Expression % Approached,Writing Expression % Met or Exceeded,Writing Conventions % Did Not Yet Meet or Partially Met,Writing Conventions % Approached,Writing Conventions % Met or Exceeded
400047,2017,Combined ELA Grades 3-8,183, ,26.20%,20.20%,24.60%,27.90%,1.10%,29.00%, ,55.70%,23.50%,20.80%,50.30%,24.00%,25.70%,51.90%,20.80%,27.30%, ,44.80%,16.90%,38.30%,36.60%,18.00%,45.40%
400048,2017,Combined ELA Grades 3-8,211, ,19.00%,25.60%,32.70%,20.90%,1.90%,22.70%, ,46.40%,27.00%,26.50%,47.90%,29.90%,22.30%,48.80%,27.50%,23.70%, ,55.00%,19.40%,25.60%,49.80%,23.70%,26.50%
400049,2017,Combined ELA Grades 3-8,300, ,20.70%,30.30%,31.30%,16.70%,1.00%,17.70%, ,53.00%,25.70%,21.30%,58.00%,24.00%,18.00%,54.00%,26.70%,19.30%, ,55.00%,20.70%,24.30%,49.30%,26.70%,24.00%
400050,2017,Combined ELA Grades 3-8,309, ,12.90%,20.10%,30.10%,33.00%,3.90%,36.90%, ,41.40%,25.90%,32.70%,38.20%,24.60%,37.20%,40.80%,31.40%,27.80%, ,35.30%,18.10%,46.60%,35.60%,20.70%,43.70%
400052,2017,Combined ELA Grades 3-8,327, ,17.10%,21.70%,33.00%,25.70%,2.40%,28.10%, ,36.40%,29.40%,34.30%,39.40%,29.40%,31.20%,41.60%,23.50%,34.90%, ,50.20%,24.50%,25.40%,45.00%,31.20%,23.90%
400060,2017,Combined ELA Grades 3-8,284, ,14.40%,20.80%,31.00%,32.00%,1.80%,33.80%, ,41.50%,23.60%,34.90%,37.70%,28.50%,33.80%,38.00%,25.40%,36.60%, ,43.00%,24.60%,32.40%,37.70%,25.00%,37.30%
400061,2017,Combined ELA Grades 3-8,132, ,38.60%,30.30%,21.20%,9.10%,0.80%,9.80%, ,63.60%,22.00%,14.40%,63.60%,19.70%,16.70%,63.60%,20.50%,15.90%, ,76.50%,10.60%,12.90%,73.50%,15.20%,11.40%
400064,2017,Combined ELA Grades 3-8,151, ,35.80%,20.50%,25.80%,17.20%,0.70%,17.90%, ,57.00%,19.90%,23.20%,58.90%,23.80%,17.20%,51.00%,26.50%,22.50%, ,62.90%,17.90%,19.20%,60.90%,23.80%,15.20%
400066,2017,Combined ELA Grades 3-8,82, ,23.20%,37.80%,31.70%,7.30%,0.00%,7.30%, ,54.90%,25.60%,19.50%,58.50%,28.00%,13.40%,43.90%,24.40%,31.70%, ,81.70%,8.50%,9.80%,74.40%,14.60%,11.00%
400068,2017,Combined ELA Grades 3-8,300, ,44.70%,28.70%,19.70%,6.70%,0.30%,7.00%, ,71.00%,20.00%,9.00%,70.30%,20.70%,9.00%,72.30%,17.30%,10.30%, ,79.30%,11.30%,9.30%,74.70%,16.30%,9.00%
400069,2017,Combined ELA Grades 3-8,293, ,24.60%,25.60%,31.70%,17.10%,1.00%,18.10%, ,52.90%,25.90%,21.20%,57.70%,24.60%,17.70%,57.00%,21.80%,21.20%, ,53.20%,22.50%,24.20%,53.90%,22.90%,23.20%
400071,2017,Combined ELA Grades 3-8,284, ,6.70%,23.60%,38.00%,30.60%,1.10%,31.70%, ,40.80%,34.20%,25.00%,39.80%,31.00%,29.20%,34.90%,34.20%,31.00%, ,37.70%,26.10%,36.30%,26.80%,30.60%,42.60%
400075,2017,Combined ELA Grades 3-8,236, ,19.90%,29.20%,30.90%,19.10%,0.80%,19.90%, ,50.40%,25.80%,23.70%,51.30%,27.50%,21.20%,50.00%,26.30%,23.70%, ,55.50%,24.20%,20.30%,46.20%,23.30%,30.50%
400076,2017,Combined ELA Grades 3-8,164, ,10.40%,11.60%,34.10%,42.10%,1.80%,43.90%, ,35.40%,28.00%,36.60%,30.50%,28.00%,41.50%,33.50%,26.20%,40.20%, ,30.50%,24.40%,45.10%,20.10%,27.40%,52.40%
400077,2017,Combined ELA Grades 3-8,198, ,24.70%,33.30%,33.80%,7.60%,0.50%,8.10%, ,60.10%,24.20%,15.70%,60.60%,25.30%,14.10%,57.10%,19.70%,23.20%, ,63.60%,22.70%,13.60%,61.10%,27.80%,11.10%
400078,2017,Combined ELA Grades 3-8,286, ,21.70%,31.80%,30.40%,15.40%,0.70%,16.10%, ,46.50%,31.10%,22.40%,56.60%,26.60%,16.80%,53.10%,22.40%,24.50%, ,64.00%,20.60%,15.40%,62.90%,21.00%,16.10%
400079,2017,Combined ELA Grades 3-8,407, ,12.50%,21.60%,29.20%,33.70%,2.90%,36.60%, ,37.10%,23.80%,39.10%,37.10%,26.00%,36.90%,37.10%,32.90%,30.00%, ,40.80%,22.40%,36.90%,35.40%,25.30%,39.30%
400080,2017,Combined ELA Grades 3-8,410, ,11.50%,20.70%,37.60%,28.30%,2.00%,30.20%, ,37.60%,26.30%,36.10%,36.80%,31.00%,32.20%,37.10%,25.60%,37.30%, ,43.90%,28.80%,27.30%,37.10%,30.20%,32.70%
400081,2017,Combined ELA Grades 3-8,191, ,14.70%,26.70%,30.90%,27.20%,0.50%,27.70%, ,44.50%,26.70%,28.80%,49.70%,23.00%,27.20%,44.50%,27.20%,28.30%, ,45.00%,22.00%,33.00%,43.50%,26.70%,29.80%
400082,2017,Combined ELA Grades 3-8,372, ,17.70%,22.60%,28.50%,29.00%,2.20%,31.20%, ,41.40%,23.10%,35.50%,39.20%,24.70%,36.00%,44.90%,24.50%,30.60%, ,51.90%,19.40%,28.80%,48.10%,23.40%,28.50%
400083,2017,Combined ELA Grades 3-8,241, ,24.50%,31.50%,29.90%,14.10%,0.00%,14.10%, ,55.20%,24.10%,20.70%,55.60%,28.20%,16.20%,57.70%,24.50%,17.80%, ,62.70%,22.80%,14.50%,58.10%,26.60%,15.40%
400084,2017,Combined ELA Grades 3-8,189, ,16.40%,22.80%,24.90%,31.20%,4.80%,36.00%, ,42.30%,28.00%,29.60%,43.40%,25.40%,31.20%,47.60%,23.80%,28.60%, ,37.60%,20.10%,42.30%,31.70%,23.80%,44.40%
400089,2017,Combined ELA Grades 3-8,378, ,23.50%,32.00%,29.60%,13.50%,1.30%,14.80%, ,51.10%,25.90%,23.00%,51.60%,26.70%,21.70%,56.90%,24.10%,19.00%, ,64.80%,21.20%,14.00%,63.50%,22.50%,14.00%
400092,2017,Combined ELA Grades 3-8,200, ,27.00%,36.50%,25.50%,11.00%,0.00%,11.00%, ,64.00%,23.00%,13.00%,61.00%,25.50%,13.50%,59.00%,26.00%,15.00%, ,66.00%,17.50%,16.50%,63.50%,19.50%,17.00%
400096,2017,Combined ELA Grades 3-8,580, ,16.90%,30.30%,30.20%,21.40%,1.20%,22.60%, ,51.40%,24.50%,24.10%,49.00%,29.00%,22.10%,45.30%,27.10%,27.60%, ,53.80%,21.20%,25.00%,48.60%,23.80%,27.60%
400101,2017,Combined ELA Grades 3-8,377, ,13.80%,25.70%,32.90%,26.30%,1.30%,27.60%, ,40.30%,26.00%,33.70%,37.70%,30.00%,32.40%,40.60%,24.40%,35.00%, ,49.30%,25.20%,25.50%,37.70%,28.10%,34.20%
400107,2017,Combined ELA Grades 3-8,275, ,19.30%,21.80%,24.40%,32.70%,1.80%,34.50%, ,48.70%,21.50%,29.80%,42.50%,28.00%,29.50%,52.00%,25.50%,22.50%, ,40.40%,18.90%,40.70%,33.50%,23.30%,43.30%
400111,2017,Combined ELA Grades 3-8,371, ,14.30%,25.90%,30.50%,28.60%,0.80%,29.40%, ,43.70%,26.70%,29.60%,43.70%,27.80%,28.60%,41.50%,27.80%,30.70%, ,47.20%,24.80%,28.00%,41.00%,23.70%,35.30%
400112,2017,Combined ELA Grades 3-8,383, ,10.70%,19.80%,34.70%,31.10%,3.70%,34.70%, ,40.50%,26.90%,32.60%,37.30%,31.90%,30.80%,41.30%,27.20%,31.60%, ,32.60%,20.40%,47.00%,29.50%,23.20%,47.30%
400114,2017,Combined ELA Grades 3-8,188, ,12.20%,26.60%,33.00%,27.10%,1.10%,28.20%, ,42.00%,31.40%,26.60%,41.50%,30.30%,28.20%,43.10%,26.60%,30.30%, ,42.00%,18.60%,39.40%,41.50%,23.40%,35.10%
400115,2017,Combined ELA Grades 3-8,359, ,18.10%,32.60%,30.90%,17.80%,0.60%,18.40%, ,48.50%,28.10%,23.40%,53.20%,24.00%,22.80%,53.20%,20.90%,25.90%, ,57.10%,24.00%,18.90%,56.80%,25.30%,17.80%
400116,2017,Combined ELA Grades 3-8,113, ,61.10%,25.70%,10.60%,1.80%,0.90%,2.70%, ,84.10%,11.50%,4.40%,80.50%,14.20%,5.30%,78.80%,15.00%,6.20%, ,89.40%,8.00%,2.70%,77.90%,16.80%,5.30%
400120,2017,Combined ELA Grades 3-8,378, ,22.50%,31.50%,31.20%,14.00%,0.80%,14.80%, ,56.60%,23.50%,19.80%,59.00%,24.30%,16.70%,54.80%,25.70%,19.60%, ,57.70%,21.20%,21.20%,52.10%,23.30%,24.60%
400121,2017,Combined ELA Grades 3-8,353, ,24.40%,31.20%,26.30%,17.00%,1.10%,18.10%, ,53.30%,24.90%,21.80%,53.80%,21.80%,24.40%,54.10%,20.70%,25.20%, ,63.20%,20.40%,16.40%,58.90%,22.10%,19.00%
400146,2017,Combined ELA Grades 3-8,299, ,19.40%,32.40%,32.40%,13.70%,2.00%,15.70%, ,48.50%,32.80%,18.70%,55.50%,28.10%,16.40%,54.20%,18.70%,27.10%, ,52.50%,25.80%,21.70%,56.90%,27.80%,15.40%
400151,2017,Combined ELA Grades 3-8,186, ,21.50%,30.60%,29.00%,17.70%,1.10%,18.80%, ,51.60%,29.60%,18.80%,55.90%,24.70%,19.40%,50.00%,25.80%,24.20%, ,58.60%,23.10%,18.30%,58.10%,20.40%,21.50%
400153,2017,Combined ELA Grades 3-8,376, ,17.00%,28.20%,29.50%,23.90%,1.30%,25.30%, ,45.50%,26.90%,27.70%,46.00%,25.80%,28.20%,51.10%,20.20%,28.70%, ,52.70%,22.60%,24.70%,44.10%,24.50%,31.40%
400159,2017,Combined ELA Grades 3-8,103, ,16.50%,6.80%,28.20%,43.70%,4.90%,48.50%, ,39.80%,18.40%,41.70%,33.00%,33.00%,34.00%,39.80%,29.10%,31.10%, ,26.20%,16.50%,57.30%,20.40%,9.70%,69.90%
400161,2017,Combined ELA Grades 3-8,292, ,30.10%,28.80%,27.40%,13.40%,0.30%,13.70%, ,53.80%,26.40%,19.90%,58.20%,22.30%,19.50%,53.80%,20.20%,26.00%, ,73.60%,17.10%,9.20%,75.70%,16.10%,8.20%
400162,2017,Combined ELA Grades 3-8,327, ,22.90%,25.70%,25.70%,24.50%,1.20%,25.70%, ,46.80%,23.50%,29.70%,49.80%,25.70%,24.50%,50.20%,22.90%,26.90%, ,51.70%,23.50%,24.80%,44.60%,29.70%,25.70%
400163,2017,Combined ELA Grades 3-8,303, ,37.00%,29.00%,22.40%,11.20%,0.30%,11.60%, ,60.10%,21.50%,18.50%,62.00%,23.80%,14.20%,57.40%,21.50%,21.10%, ,76.60%,15.20%,8.30%,76.90%,15.80%,7.30%
400165,2017,Combined ELA Grades 3-8,269, ,28.30%,34.20%,26.40%,10.80%,0.40%,11.20%, ,58.40%,23.80%,17.80%,63.60%,22.70%,13.80%,61.30%,23.00%,15.60%, ,66.20%,19.70%,14.10%,65.10%,23.40%,11.50%
400167,2017,Combined ELA Grades 3-8,331, ,19.60%,23.30%,31.40%,22.70%,3.00%,25.70%, ,52.90%,21.10%,26.00%,48.90%,27.80%,23.30%,51.70%,23.90%,24.50%, ,45.30%,22.70%,32.00%,43.20%,23.90%,32.90%
400168,2017,Combined ELA Grades 3-8,38, ,5.30%,15.80%,31.60%,44.70%,2.60%,47.40%, ,26.30%,34.20%,39.50%,23.70%,26.30%,50.00%,34.20%,13.20%,52.60%, ,31.60%,23.70%,44.70%,34.20%,18.40%,47.40%
400171,2017,Combined ELA Grades 3-8,143, ,31.50%,34.30%,22.40%,11.90%,0.00%,11.90%, ,60.10%,20.30%,19.60%,59.40%,24.50%,16.10%,61.50%,16.80%,21.70%, ,67.10%,21.00%,11.90%,67.10%,21.00%,11.90%
400180,2017,Combined ELA Grades 3-8,87, ,20.70%,42.50%,20.70%,16.10%,0.00%,16.10%, ,55.20%,27.60%,17.20%,55.20%,20.70%,24.10%,63.20%,18.40%,18.40%, ,75.90%,10.30%,13.80%,72.40%,17.20%,10.30%
609716,2017,Combined ELA Grades 3-8,121, ,56.20%,28.90%,10.70%,3.30%,0.80%,4.10%, ,79.30%,15.70%,5.00%,76.90%,14.00%,9.10%,79.30%,12.40%,8.30%, ,84.30%,9.90%,5.80%,80.20%,13.20%,6.60%
609720,2017,Combined ELA Grades 3-8,156, ,1.30%,0.00%,9.60%,50.00%,39.10%,89.10%, ,1.90%,9.00%,89.10%,1.30%,3.80%,94.90%,1.90%,3.80%,94.20%, ,13.50%,14.10%,72.40%,10.90%,14.10%,75.00%
609725,2017,Combined ELA Grades 3-8,105, ,3.80%,10.50%,41.90%,41.90%,1.90%,43.80%, ,20.00%,33.30%,46.70%,20.00%,36.20%,43.80%,19.00%,33.30%,47.60%, ,27.60%,26.70%,45.70%,26.70%,36.20%,37.10%
609726,2017,Combined ELA Grades 3-8,52, ,3.80%,11.50%,36.50%,38.50%,9.60%,48.10%, ,17.30%,23.10%,59.60%,13.50%,40.40%,46.20%,15.40%,28.80%,55.80%, ,40.40%,21.20%,38.50%,25.00%,34.60%,40.40%
609728,2017,Combined ELA Grades 3-8,75, ,20.00%,28.00%,25.30%,25.30%,1.30%,26.70%, ,46.70%,28.00%,25.30%,45.30%,33.30%,21.30%,53.30%,28.00%,18.70%, ,48.00%,25.30%,26.70%,42.70%,26.70%,30.70%
609734,2017,Combined ELA Grades 3-8,120, ,3.30%,5.00%,18.30%,51.70%,21.70%,73.30%, ,14.20%,23.30%,62.50%,11.70%,15.80%,72.50%,13.30%,15.80%,70.80%, ,17.50%,17.50%,65.00%,15.80%,19.20%,65.00%
609746,2017,Combined ELA Grades 3-8,186, ,11.30%,9.70%,29.00%,40.30%,9.70%,50.00%, ,27.40%,24.20%,48.40%,21.50%,24.20%,54.30%,24.20%,17.20%,58.60%, ,33.30%,25.30%,41.40%,32.30%,26.30%,41.40%
609755,2017,Combined ELA Grades 3-8,231, ,0.40%,0.40%,6.90%,46.30%,45.90%,92.20%, ,2.60%,5.60%,91.80%,0.90%,5.20%,93.90%,2.20%,5.60%,92.20%, ,9.50%,7.40%,83.10%,6.10%,9.50%,84.40%
609772,2017,Combined ELA Grades 3-8,494, ,11.10%,23.90%,30.00%,32.80%,2.20%,35.00%, ,36.00%,28.70%,35.20%,38.90%,29.60%,31.60%,41.50%,26.30%,32.20%, ,39.50%,22.50%,38.10%,31.80%,27.50%,40.70%
609773,2017,Combined ELA Grades 3-8,270, ,13.30%,15.20%,27.00%,35.20%,9.30%,44.40%, ,33.30%,22.60%,44.10%,31.50%,24.40%,44.10%,31.10%,20.40%,48.50%, ,38.90%,22.20%,38.90%,35.20%,24.80%,40.00%
609774,2017,Combined ELA Grades 3-8,251, ,3.60%,8.00%,21.10%,55.40%,12.00%,67.30%, ,16.30%,23.10%,60.60%,14.30%,20.70%,64.90%,15.50%,22.30%,62.20%, ,19.10%,22.30%,58.60%,16.70%,22.30%,61.00%
609777,2017,Combined ELA Grades 3-8,168, ,13.10%,19.60%,26.20%,36.90%,4.20%,41.10%, ,43.50%,24.40%,32.10%,46.40%,23.80%,29.80%,57.70%,18.50%,23.80%, ,27.40%,13.10%,59.50%,27.40%,18.50%,54.20%
609779,2017,Combined ELA Grades 3-8,876, ,16.20%,20.50%,26.60%,29.20%,7.40%,36.60%, ,41.30%,23.70%,34.90%,39.70%,25.70%,34.60%,45.90%,21.90%,32.20%, ,40.50%,18.00%,41.40%,35.00%,20.10%,44.90%
609780,2017,Combined ELA Grades 3-8,279, ,30.80%,35.50%,23.70%,10.00%,0.00%,10.00%, ,61.30%,20.40%,18.30%,62.40%,25.80%,11.80%,59.90%,19.40%,20.80%, ,70.30%,20.10%,9.70%,66.30%,20.10%,13.60%
609782,2017,Combined ELA Grades 3-8,257, ,7.00%,16.30%,28.00%,40.90%,7.80%,48.60%, ,24.50%,24.90%,50.60%,22.60%,28.00%,49.40%,22.20%,20.20%,57.60%, ,39.70%,22.20%,38.10%,33.10%,24.10%,42.80%
609786,2017,Combined ELA Grades 3-8,163, ,33.10%,33.70%,20.90%,11.70%,0.60%,12.30%, ,58.90%,25.80%,15.30%,66.90%,21.50%,11.70%,62.00%,18.40%,19.60%, ,67.50%,18.40%,14.10%,67.50%,18.40%,14.10%
609788,2017,Combined ELA Grades 3-8,189, ,15.30%,27.00%,34.40%,22.20%,1.10%,23.30%, ,48.10%,23.80%,28.00%,48.70%,29.60%,21.70%,45.50%,27.00%,27.50%, ,43.40%,28.00%,28.60%,39.70%,28.60%,31.70%
609789,2017,Combined ELA Grades 3-8,384, ,26.60%,34.10%,26.00%,13.00%,0.30%,13.30%, ,59.10%,24.50%,16.40%,55.20%,27.30%,17.40%,59.40%,21.60%,19.00%, ,68.50%,19.00%,12.50%,64.60%,19.30%,16.10%
609790,2017,Combined ELA Grades 3-8,268, ,33.20%,31.30%,24.30%,11.20%,0.00%,11.20%, ,64.90%,21.30%,13.80%,67.50%,23.10%,9.30%,63.80%,19.40%,16.80%, ,61.60%,22.40%,16.00%,63.10%,19.80%,17.20%
609791,2017,Combined ELA Grades 3-8,246, ,39.40%,33.70%,19.50%,6.90%,0.40%,7.30%, ,69.10%,19.90%,11.00%,72.00%,17.50%,10.60%,69.90%,17.90%,12.20%, ,70.70%,19.10%,10.20%,71.10%,19.50%,9.30%
609792,2017,Combined ELA Grades 3-8,605, ,22.10%,23.00%,25.60%,24.10%,5.10%,29.30%, ,48.60%,21.50%,29.90%,46.30%,25.50%,28.30%,50.70%,21.00%,28.30%, ,50.20%,19.50%,30.20%,43.10%,21.70%,35.20%
609793,2017,Combined ELA Grades 3-8,303, ,41.30%,27.70%,23.80%,6.60%,0.70%,7.30%, ,67.30%,19.50%,13.20%,68.00%,20.50%,11.60%,66.30%,18.50%,15.20%, ,73.90%,19.10%,6.90%,69.60%,20.80%,9.60%
609794,2017,Combined ELA Grades 3-8,185, ,0.00%,0.00%,5.40%,52.40%,42.20%,94.60%, ,2.20%,8.10%,89.70%,1.60%,6.50%,91.90%,3.20%,4.30%,92.40%, ,3.20%,8.60%,88.10%,1.60%,10.80%,87.60%
609795,2017,Combined ELA Grades 3-8,148, ,16.90%,20.30%,29.70%,31.10%,2.00%,33.10%, ,39.90%,30.40%,29.70%,43.20%,22.30%,34.50%,35.10%,27.70%,37.20%, ,39.90%,22.30%,37.80%,37.20%,21.60%,41.20%
609796,2017,Combined ELA Grades 3-8,701, ,6.60%,8.80%,19.80%,50.50%,14.30%,64.80%, ,19.70%,19.40%,60.90%,20.30%,18.50%,61.20%,19.10%,17.30%,63.60%, ,22.10%,17.30%,60.60%,18.70%,19.50%,61.80%
609797,2017,Combined ELA Grades 3-8,270, ,30.00%,35.90%,24.10%,10.00%,0.00%,10.00%, ,63.00%,25.60%,11.50%,67.80%,22.20%,10.00%,66.70%,19.60%,13.70%, ,63.00%,23.30%,13.70%,55.60%,23.30%,21.10%
609798,2017,Combined ELA Grades 3-8,74, ,16.20%,17.60%,29.70%,33.80%,2.70%,36.50%, ,36.50%,25.70%,37.80%,39.20%,21.60%,39.20%,33.80%,33.80%,32.40%, ,51.40%,23.00%,25.70%,36.50%,25.70%,37.80%
609799,2017,Combined ELA Grades 3-8,568, ,6.70%,7.20%,17.40%,54.60%,14.10%,68.70%, ,17.10%,19.00%,63.90%,17.10%,13.70%,69.20%,17.30%,15.00%,67.80%, ,22.40%,18.70%,59.00%,17.40%,19.40%,63.20%
609800,2017,Combined ELA Grades 3-8,207, ,17.90%,35.70%,29.50%,15.50%,1.40%,16.90%, ,52.20%,26.60%,21.30%,54.10%,25.60%,20.30%,54.10%,26.10%,19.80%, ,66.70%,15.90%,17.40%,64.30%,17.90%,17.90%
609803,2017,Combined ELA Grades 3-8,197, ,7.60%,12.20%,17.30%,50.30%,12.70%,62.90%, ,22.30%,18.80%,58.90%,20.80%,17.80%,61.40%,27.40%,18.30%,54.30%, ,23.40%,19.80%,56.90%,18.80%,19.30%,61.90%
609804,2017,Combined ELA Grades 3-8,501, ,17.80%,25.70%,22.20%,30.30%,4.00%,34.30%, ,49.90%,21.60%,28.50%,44.90%,23.80%,31.30%,52.30%,21.20%,26.50%, ,42.90%,20.40%,36.70%,38.30%,22.60%,39.10%
609805,2017,Combined ELA Grades 3-8,248, ,31.50%,31.00%,24.20%,12.90%,0.40%,13.30%, ,58.90%,23.80%,17.30%,60.90%,21.40%,17.70%,62.10%,19.40%,18.50%, ,69.40%,17.30%,13.30%,64.50%,19.80%,15.70%
